source_ip,destination_ip,source_port,destination_port,protocol,packet_size,inter_arrival_time,payload_size,flow_duration,total_packets,total_bytes,flow_direction,session_duration,session_count,mean_packet_size,variance_packet_size,entropy,access_patterns,usage_frequency,temporal_patterns,country,region,city,application_data,behavioral_pattern,network_context
144.195.31.55,192.168.1.239,8801,57388,UDP,967,2.1188957691192627,953,27.54268169403076,21,12320,outbound,27.54268169403076,21,586.6666666666666,56940.888888888905,3.327339900083509,144.195.31.55->192.168.1.239:57388,0.7624529896285032,2024-08-21 18:05:04,Unknown,Unknown,Unknown,Unknown,Normal,Normal
34.117.59.81,192.168.1.239,443,56557,TCP,74,0.0,60,0.0,1,74,outbound,0.0,1,74.0,0.0,-0.0,34.117.59.81->192.168.1.239:56557,0,2024-08-21 18:05:05,Unknown,Unknown,Unknown,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,56557,443,TCP,66,2.220280885696411,52,2.220280885696411,2,144,outbound,2.220280885696411,2,72.0,36.0,1.0,192.168.1.239->34.117.59.81:443,0.9007869287550444,2024-08-21 18:05:05,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,34.117.59.81,56557,443,TCP,583,0.28568196296691895,569,2.50596284866333,3,727,outbound,2.50596284866333,3,242.33333333333334,58050.88888888888,1.584962500721156,192.168.1.239->34.117.59.81:443,1.1971446430661121,2024-08-21 18:05:05,US,Missouri,Kansas City,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,512,2.4948229789733887,498,31.32593607902527,25,17094,outbound,31.32593607902527,25,683.76,88766.7424,3.9132696895151073,192.168.1.239->144.195.31.55:8801,0.7980607486695062,2024-08-21 18:05:05,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,512,0.21593308448791504,498,31.541869163513184,26,17606,outbound,31.541869163513184,26,677.1538461538462,86443.66863905327,3.921029621737614,192.168.1.239->144.195.31.55:8801,0.8243011809229152,2024-08-21 18:05:05,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,511,0.2040870189666748,497,31.74595618247986,27,18117,outbound,31.74595618247986,27,671.0,84226.66666666667,4.004344446367528,192.168.1.239->144.195.31.55:8801,0.8505020244090463,2024-08-21 18:05:06,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,310,2.2354328632354736,296,32.42506003379822,25,4723,outbound,32.42506003379822,25,188.92,4051.8336,4.103465189601645,192.168.1.239->144.195.31.55:8801,0.7710085956337871,2024-08-21 18:05:06,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,57388,8801,UDP,511,0.457427978515625,497,32.20338416099548,28,18628,outbound,32.20338416099548,28,665.2857142857143,82100.20408163265,4.012188403968661,192.168.1.239->144.195.31.55:8801,0.869473837284263,2024-08-21 18:05:06,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,49484,8801,UDP,314,0.4765920639038086,300,32.901652097702026,26,5037,outbound,32.901652097702026,26,193.73076923076923,4474.581360946746,4.18083298720544,192.168.1.239->144.195.31.55:8801,0.7902338740557024,2024-08-21 18:05:06,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,1070,3.1297638416290283,1056,32.4414541721344,28,12845,outbound,32.4414541721344,28,458.75,108778.1875,3.2368489059491363,192.168.1.239->144.195.31.55:8801,0.8630932464195952,2024-08-21 18:05:07,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,1070,0.18912887573242188,1056,32.63058304786682,29,13915,outbound,32.63058304786682,29,479.82758620689657,117466.62544589775,3.2726648416435347,192.168.1.239->144.195.31.55:8801,0.8887368012229201,2024-08-21 18:05:07,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,1070,0.21941924095153809,1056,32.85000228881836,30,14985,outbound,32.85000228881836,30,499.5,124774.18333333333,3.282588730501833,192.168.1.239->144.195.31.55:8801,0.9132419455024374,2024-08-21 18:05:07,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,1070,0.2029719352722168,1056,33.052974224090576,31,16055,outbound,33.052974224090576,31,517.9032258064516,130909.57127991675,3.277610231321162,192.168.1.239->144.195.31.55:8801,0.9378883664092694,2024-08-21 18:05:07,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,1070,0.20549917221069336,1056,33.25847339630127,32,17125,outbound,33.25847339630127,32,535.15625,136046.3193359375,3.26300597107894,192.168.1.239->144.195.31.55:8801,0.9621608189496387,2024-08-21 18:05:07,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,1070,0.19104671478271484,1056,33.449520111083984,33,18195,outbound,33.449520111083984,33,551.3636363636364,140329.4435261708,3.2418503782868164,192.168.1.239->144.195.31.55:8801,0.9865612388581017,2024-08-21 18:05:08,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,1070,0.18696928024291992,1056,33.636489391326904,34,19265,outbound,33.636489391326904,34,566.6176470588235,143880.70674740482,3.216120108737388,192.168.1.239->144.195.31.55:8801,1.010807031745912,2024-08-21 18:05:08,US,California,San Jose,Unknown,Normal,Normal
192.168.1.239,144.195.31.55,51487,8801,UDP,1070,0.20194268226623535,1056,33.83843207359314,35,20335,outbound,33.83843207359314,35,581.0,146802.8,3.187163918343906,192.168.1.239->144.195.31.55:8801,1.0343268838189854,2024-08-21 18:05:08,US,California,San Jose,Unknown,Normal,Normal
